word,pos,phonetic,chinese,definition_en,synonym1,synonym2,synonym3,easy_sentence,part3_sentence,sentence_cn_easy,sentence_cn_part3
parking,n.,/ˈpɑːkɪŋ/,停车,leaving a car in a place,car space,stopping,bays,The ______ is full near the school.,Good ______ keeps a street clear.,学校附近停车位满了。,好的停车规划保持街道畅通。
passenger,n.,/ˈpæsɪnʤə/,乘客；旅客,a person riding in a vehicle,rider,traveller,commuter,The ______ sat by the window.,A ______ should wear a seat belt.,乘客坐在窗边。,乘客应系安全带。
pen-friend,n.,/ˈpɛnfrɛnd/,笔友,a friend you write letters to,pen pal,correspondent,mail friend,I have a ______ in France.,A ______ builds cross-country friendship.,我有个法国笔友。,笔友建立跨国友谊。
petrol,n.,/ˈpɛtrəl/,汽油,fuel used by most cars,gas,fuel,gasoline,We need ______ for the long trip.,High ______ prices change how people travel.,长途旅行我们需要汽油。,高油价改变人们的出行方式。
pharmacy,n.,/ˈfɑːməsi/,药店,a shop where you buy medicine,chemist,drugstore,dispensary,Go to the ______ for the medicine.,A 24-hour ______ helps in an emergency.,去药房买药。,24小时药房在急救时有用。
pilot,n.,/ˈpaɪlət/,飞行员,a person who flies a plane,flyer,aviator,captain,The ______ opened the cabin door.,A calm ______ keeps passengers safe.,飞行员打开舱门。,冷静的飞行员保障乘客安全。
planet,n.,/ˈplænɪt/,行星,a large world in space,world,earth,globe,Earth is our home ______.,We must protect our ______ from harm.,地球是我们的家园星球。,我们必须保护地球免受伤害。
platform,n.,/ˈplætfɔːm/,站台,a flat place where trains stop,stage,deck,boarding area,Wait on the ______ for your train.,A clear ______ helps crowds move safely.,在站台等你的火车。,清晰的站台帮助人群安全移动。
pleased,adj.,/pliːzd/,高兴；满意；愉快,happy about something,happy,glad,satisfied,I am ______ with my exam score.,A ______ parent encourages a child more.,我对考试成绩很满意。,满意的家长更鼓励孩子。
post office,n.,/pəʊst/ /ˈɒfɪs/,邮局,a place to send letters and parcels,mail office,post,letter office,I went to the ______ before noon.,A local ______ serves a whole neighbourhood.,我中午前去邮局。,本地邮局服务整个社区。
postcode,n.,/ˈpəʊstkəʊd/,邮政编码,letters and numbers for an area,zip code,area code,mail code,"What is your ______, please?",A ______ helps deliver mail to the right door.,请问你的邮政编码是多少？,邮政编码把邮件送到正确的门。
price,n.,/praɪs/,价格,the amount paid for something,cost,charge,fee,The ______ is written on the tag.,A fair ______ builds trust with customers.,价格写在标签上。,公道的价格建立顾客信任。
prize,n.,/praɪz/,奖赏；奖品,something won in a contest,award,reward,trophy,He won a ______ in the contest.,A small ______ can motivate a shy child.,他在比赛中获奖。,小奖品能激励害羞的孩子。
racket,n.,/ˈrækɪt/,球拍,a tool used to hit a ball,bat,paddle,club,He bought a new tennis ______.,A good ______ improves a beginner's game.,他买了支新网球拍。,好球拍提升初学者的水平。
square,n.,/skweə/,广场,an open place in the middle of a town,plaza,piazza,court,We met in the ______ by the fountain.,A lively ______ is the heart of a city.,我们在喷泉旁的广场碰面。,热闹的广场是城市的心脏。
stadium,n.,/ˈsteɪdiəm/,体育场,a big place to watch sports,arena,ground,park,The ______ holds fifty thousand fans.,A new ______ can renew a tired district.,体育场能容纳五万观众。,新体育场能复兴老旧城区。
staff,n.,/stɑːf/,全体员工,the people who work in a place,workers,team,crew,The ______ are very helpful and kind.,Good ______ make a school feel welcoming.,员工很热心。,好员工让学校亲切。
statue,n.,/ˈstæʧuː/,雕像,a model of a person made in stone,figure,monument,sculpture,There is a ______ in the park.,A old ______ tells a city's story.,公园里有座雕像。,老雕像讲述城市的故事。
suggestion,n.,/səˈʤɛsʧən/,建议；提议,an idea that someone offers,idea,proposal,tip,He made a good ______ for the trip.,A student's ______ can improve a school.,他提出了一个好建议。,学生的建议能改善学校。
superlative,n.,/suːˈpɜːlətɪv/,最高级的,the form used for the most,best form,-est form,top form,Biggest is the ______ of big.,The ______ shows the top of a group.,Biggest 是 big 的最高级。,最高级表示群体中的顶端。
surprising,adj.,/səˈpraɪzɪŋ/,令人意外的,not expected; odd,unexpected,odd,strange,The result was ______ to everyone.,A ______ fact makes a class sit up.,结果出乎所有人意料。,惊人的事实让全班坐直。
text,n.,/tɛkst/,文本,written words on a page,words,writing,message,Read the ______ on the screen.,A short ______ is easier to remember.,读屏幕上的文字。,短文更易记住。
the underground,n.,/ði/ /ˈʌndəɡraʊnd/,地铁,a train system below a city,subway,metro,tube,We took ______ to the centre.,A clean ______ reduces street traffic.,我们乘地铁去市中心。,干净的地铁减少路面交通。
theatre,n.,/ˈθɪətə/,剧院，戏院；电影院,a place to watch plays,playhouse,stage,cinema,We saw a play at the ______.,A school ______ builds confidence in teens.,我们在剧院看了一出戏。,学校剧院建立青少年的自信。
thin,adj.,/θɪn/,薄的，细的，瘦的,not fat; narrow,slim,slender,narrow,The book is very ______ and light.,A ______ wall lets sound through.,书很薄很轻。,薄墙传声。
toilet,n.,/ˈtɔɪlət/,厕所，抽水马桶,a small room for washing and going,restroom,bathroom,WC,Where is the ______ in this building?,A clean ______ is a sign of a good school.,这栋楼厕所在哪？,干净的厕所是好学校的标志。
traffic,n.,/ˈtræfɪk/,交通,cars and buses moving on roads,cars,vehicles,transport,The ______ was heavy at eight.,Less ______ means cleaner city air.,八点交通很拥堵。,更少车流意味着更清洁的城市空气。
vocabulary,n.,/vəˈkæbjələri/,词汇,all the words you know,words,lexicon,terms,Read to grow your ______.,A strong ______ helps in every subject.,阅读能扩大词汇量。,扎实的词汇量对各科都有帮助。
vote,v.,/vəʊt/,投票,to choose in an election,elect,choose,poll,We ______ for the class captain.,Young people should learn to ______ well.,我们投票选班长。,年轻人应学会好好投票。
weight,n.,/weɪt/,重量,how heavy something is,heaviness,mass,load,What is the ______ of the box?,A healthy ______ needs good food and play.,箱子有多重？,健康体重需要好食物与玩耍。
western,adj.,/ˈwɛstən/,西方的；西方国家的,from or of the west,west,occidental,left-side,The ______ part of town is older.,The ______ world shaped much modern science.,城西更老。,西方世界塑造了许多现代科学。
whole,adj.,/həʊl/,整个的；全部的,all of; complete,entire,full,total,I ate the ______ cake by myself.,The ______ class went on the trip.,我一个人吃了整个蛋糕。,全班去了旅行。
ability,n.,/əˈbɪləti/,才能；能力,power to do something,skill,power,capacity,She has the ______ to learn fast.,Every child has a special ______.,她有快速学习的能力。,每个孩子都有特殊能力。
advertisement,n.,/ədˈvɜːtɪsmənt/,广告,a public notice to sell something,ad,commercial,notice,I saw an ______ for a new phone.,A clear ______ helps people choose well.,我看到了新手机的广告。,清晰的广告帮助人们选好。
anyone,pron.,/ˈɛniwʌn/,任何人,any person at all,anybody,someone,a person,______ can join the club for free.,______ can learn to code today.,任何人都可免费加入社团。,如今任何人都可编程。
application form,n.,/ˌæplɪˈkeɪʃən/ /fɔːm/,申请表,a paper used to ask for something,form,request,sign-up,Fill in the ______ with your name.,A simple ______ lowers the bar to join.,在申请表上填你的名字。,简单的申请表降低参与门槛。
appropriate,adj.,/əˈprəʊpriət/,恰当的,right and suitable for a case,suitable,fitting,proper,Wear ______ clothes for PE class.,An ______ reply shows good manners.,体育课穿合适的衣服。,得体的回复显出好礼貌。
believe,v.,/bɪˈliːv/,相信,to think something is true,think,trust,feel,I ______ he is an honest person.,We should ______ in our own progress.,我相信他是个诚实的人。,我们应相信自己的进步。
burn,v.,/bɜːn/,燃烧；烧,to be hurt by fire or heat,scorch,singe,char,Don't ______ your hand on the pan.,Cooks must not ______ the food they serve.,别烫到手。,厨师不能把要做的食物烧焦。
career,n.,/kəˈrɪə/,事业,the work you do for many years,job,profession,work,She plans a ______ in medicine.,A clear ______ goal motivates study.,她规划从事医学职业。,清晰的职业目标激励学习。
cash desk,n.,/kæʃ/ /dɛsk/,收银台,a place to pay in a shop,checkout,till,counter,Pay at the ______ before you leave.,A fast ______ keeps a shop moving.,离开前在收银台付款。,快捷的收银台让商店运转顺畅。
challenge,n.,/ˈʧælɪnʤ/,向（某人）挑战,something hard to do well,task,problem,test,Finishing the book was a ______.,A real ______ helps a child grow.,读完这本书是个挑战。,真正的挑战帮助孩子成长。
channel,n.,/ˈʧænəl/,电视频道,a TV station; also a waterway,station,network,waterway,Which ______ shows the news?,A local ______ shares a town's own stories.,哪个频道播新闻？,本地频道分享小镇自己的故事。
community,n.,/kəˈmjuːnəti/,社区,people living in one area,society,neighbourhood,public,Our ______ is friendly and safe.,A strong ______ supports every family.,我们的社区友好又安全。,强大的社区支持每个家庭。
computer,n.,/kəmˈpjuːtə/,计算机，电脑,a machine that processes data,PC,laptop,device,I did my homework on the ______.,A ______ at home opens a world of learning.,我在电脑上做作业。,家里的电脑打开学习世界。
confident,adj.,/ˈkɒnfɪdənt/,自信的；有自信心的,sure of yourself and your skills,sure,certain,bold,She is ______ about the test.,A ______ child tries harder tasks.,她对考试很有信心。,自信的孩子尝试更难的题。
contact,v.,/ˈkɒntækt/,联系,to reach someone by phone or mail,reach,call,message,Please ______ me by email tonight.,Parents should ______ teachers often.,请今晚用邮件联系我。,家长应常联系老师。
cousin,n.,/ˈkʌzən/,堂表,a child of your aunt or uncle,relative,kin,family,My ______ lives in another city.,A ______ can be a lifelong friend.,我的表亲住在另一座城市。,表亲可以是终生的朋友。
develop,v.,/dɪˈvɛləp/,加强；增强,to grow or improve over time,grow,build,improve,Children ______ fast at this age.,Cities ______ when people invest in them.,孩子在这个年纪长得快。,当人们投资城市，城市便发展。
dinner,n.,/ˈdɪnə/,晚餐,the main meal in the evening,supper,meal,feast,We had ______ at seven o'clock.,A family ______ builds closer bonds.,我们七点吃晚饭。,家庭晚餐拉近亲情。
discover,v.,/dɪˈskʌvə/,发现；找到；发觉,to find something new,find,learn,uncover,We ______ a small park nearby.,Scientists ______ new facts through tests.,我们发现附近有个小公园。,科学家通过实验发现新事实。
earn,v.,/ɜːn/,挣得,to get money for work,make,gain,get,He ______ ten pounds an hour.,Teens who ______ learn the value of money.,他一小时挣十英镑。,赚钱的青少年懂得钱的价值。
easily,adv.,/ˈiːzəli/,容易地,without difficulty,simply,readily,without trouble,She ______ won the game.,A clear rule is ______ followed by all.,她轻松赢了比赛。,清晰的规则人人容易遵守。
enthusiasm,n.,/ɪnˈθjuːziæzəm/,热情,strong excited interest,eagerness,passion,zeal,He shows ______ for science.,A teacher's ______ spreads to students.,他对科学表现出热情。,老师的热情会感染学生。
even,adv.,/ˈiːvən/,甚至,still; to a greater degree,still,also,too,It was ______ raining at noon.,Some cities are ______ building upwards.,中午甚至还在下雨。,一些城市甚至向上建楼。
get paid for sth,phr.,/ɡɛt/ /peɪd/ /fɔː/ sth,因某事物而得到报酬,to receive money for an action,be paid for,earn from,be given money for,He ______ his help at the shop.,Teens who ______ learn real work.,他因在店里帮忙而获得报酬。,因帮忙而获酬的青少年学到真正的工作。
grammar,n.,/ˈɡræmə/,语法,the rules of a language,rules,syntax,structure,We study ______ in every class.,Good ______ helps you write clearly.,我们每节课都学语法。,好的语法帮助清晰写作。
guard,v.,/ɡɑːd/,守卫；保卫,to protect from harm,protect,defend,watch,The dog ______ the house at night.,A wall ______ the town from the wind.,狗夜里看守房子。,城墙挡风保护城镇。
